indicator1,indicator10,indicator11,indicator12,indicator13,indicator14,indicator15,indicator16,indicator17,indicator18,indicator19,indicator2,indicator21,indicator22,indicator23,indicator26,indicator27,indicator28,indicator29,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8,indicator9,ID,label_1
1.214496411,0.953253485,1.636309133,0.998911678,2.045370864,2.131330135,0.978211571,0.992789622,0.87332893,1.044991733,1.271765221,1.310601224,1.008249128,1.002917465,0.98129858,1.002917465,0.999408789,0.99737681,1.009157455,1.271765221,0.754602246,0.544331324,0.773756845,1.448294592,0.679783727,1.376556393,USA1636,2
0.832517701,0,0,0.999665982,0,0,0,0,0,0,0,0.909981561,0.996419249,0.999508091,0.99267609,0.999508091,0.998948817,0.998014647,0.99624065,0,0.419280352,0,0.287195687,0,0,0,USA1857,2
1.206377963,1.29785137,1.711805004,0.999665982,1.789894058,2.311990762,0.822891179,0.967002878,1.09041355,0.795738139,1.096763251,1.206973681,0.996419249,0.999508091,0.99329851,0.999508091,0.998948817,0.998014647,0.99624065,1.096763251,0.475241683,0.766186583,0.497314567,1.978081749,0.854066094,2.018090861,USA1857,2
1.245609766,1.236610765,1.774879599,1.002324524,1.857050825,2.275128787,0.872534451,0.948864651,1.00690856,0.859024454,1.181842428,1.274849412,0.990233147,0.997853759,0.993652704,0.997853759,0.999547647,0.997610638,0.995368574,1.181842428,0.839797156,0.784148466,0.557864797,1.897274315,0.863686208,1.921041887,CAN601,2
1.245609766,1.236610765,1.798313278,1.002324524,1.863504785,2.275128787,0.872534451,0.929695669,0.99559498,0.866243147,1.181842428,1.274849412,0.990233147,0.997853759,0.993652704,0.997853759,0.999547647,0.997610638,0.995368574,1.181842428,0.855947101,0.778095862,0.557864797,1.897274315,0.868132859,1.921041887,CAN601,2
1.200587727,1.163707127,1.646345605,0.99946546,1.925711801,2.208847848,0.928228139,0.973323159,0.884973316,0.925892404,1.147586125,1.201044984,0.995800248,1.000916887,0.98464787,1.000916887,0.999971355,0.994660207,1.001679848,1.147586125,0.949956783,0.695040686,0.572952547,1.847501274,0.812992221,1.825727857,USA3259,2
1.206886147,1.123946575,1.683803343,0.999862479,1.899989726,2.217161053,0.916527784,0.983461942,0.941779035,0.901370194,1.166803075,1.201044984,0.995800248,1.000916887,0.98464787,1.000916887,1.000773426,0.994660207,1.001679848,1.166803075,0.839063068,0.655485525,0.582501756,1.832604706,0.800129467,1.810577494,USA3259,2
1.20362292,1.123946575,1.683803343,0.99946546,1.899989726,2.217161053,0.916527784,0.975061236,0.887963091,0.901370194,1.166803075,1.201044984,0.995800248,1.000916887,0.98464787,1.000916887,0.999971355,0.994660207,1.001679848,1.166803075,0.873592412,0.655485525,0.582501756,1.832604706,0.800129467,1.810577494,USA3259,2
1.220697571,1.123946575,1.683803343,0.99946546,1.899989726,2.217161053,0.916527784,0.983461942,0.941779035,0.901370194,1.166803075,1.201044984,0.995800248,1.000916887,0.985375044,1.000916887,0.999971355,0.994660207,1.001679848,1.166803075,0.968194237,0.683646576,0.582501756,1.832604706,0.800129467,1.810577494,USA3259,2
1.301943876,1.241597098,1.78889127,1.001280616,2.072997601,2.615798343,1.063761163,1.009236438,0.948743452,1.073586527,1.675737703,1.465380309,1.007830927,1.00480565,0.99096088,1.00480565,1.007692371,0.997135315,1.019805529,1.675737703,1.301623477,0.596752104,1.168488625,1.939485781,0.855731112,1.928017847,AUS881,2
