fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
22569,AUS,Australia,0.289779321,Lithium
22570,AUS,Australia,0.026895279,Other metals
22571,AUS,Australia,1.528752055,Iron
22572,AUS,Australia,39.45826043,Nickel and Cobalt
22573,AUS,Australia,1.729477087,Manganese
22576,AUS,Australia,0.159115749,Copper
22577,AUS,Australia,0.048756993,Gold
22578,AUS,Australia,0.055397231,Gold
22579,AUS,Australia,0.058265591,Copper
22580,AUS,Australia,0.148272994,Coal
22581,AUS,Australia,2.654935568,Gold
22582,AUS,Australia,0.105871276,Gold
22583,AUS,Australia,0.787750196,Nickel and Cobalt
22584,AUS,Australia,0.41020737,Coal
22585,AUS,Australia,0.18438664,Other non-metals
22586,AUS,Australia,0.330669623,Other metals
22587,CAN,Canada,0.378867331,Other non-metals
22588,AUS,Australia,1.548386694,Gold
22589,AUS,Australia,0.496601098,Lithium
22590,AUS,Australia,0.648181788,Copper
22591,AUS,Australia,1.098276658,Silver
22592,AUS,Australia,0.539593281,Lithium
22593,AUS,Australia,2.091591034,Lithium
22594,AUS,Australia,0.110544696,Other metals
22595,AUS,Australia,2.878003231,Lead
22596,AUS,Australia,0.390059976,Coal
22597,AUS,Australia,1.645576882,Coal
22598,AUS,Australia,0.845223847,Other metals
22599,AUS,Australia,0.024232072,Nickel and Cobalt
22600,AUS,Australia,0.073643711,Zinc
22601,AUS,Australia,3.433143499,Other non-metals
22602,AUS,Australia,0.108771987,Ilmenite
22603,AUS,Australia,0.082719861,Iron
22604,AUS,Australia,0.182956775,Ilmenite
22605,AUS,Australia,0.334169687,Copper
22606,AUS,Australia,0.570136637,Gold
22607,AUS,Australia,0.034883671,Gold
22608,AUS,Australia,0.015502646,Lithium
22609,AUS,Australia,0.03673785,Gold
22611,AUS,Australia,0.040283728,Gold
22612,AUS,Australia,0.315591849,Iron
22613,AUS,Australia,0.036232312,Gold
22614,AUS,Australia,0.020974883,Silver
22615,AUS,Australia,0.023478128,Other non-metals
22616,AUS,Australia,2.476767354,Gold
22617,AUS,Australia,0.458863853,Other metals
22621,AUS,Australia,0.391438719,Coal
22622,AUS,Australia,0.025279959,Iron
22624,AUS,Australia,0.088456192,Other metals
22625,AUS,Australia,0.048560284,Other metals
22629,AUS,Australia,0.018388293,Iron
22630,AUS,Australia,0.018003336,Iron
